NAME,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,ENERGY,CHEM,CONMAT,MTLMIN,MATERIAL,AERODEF,BLDPROD,CNSTENG,ELECEQP,INDCONG,MACH,TRDDIST,COMSERV,AIRLINE,MARINE,RDRLTRAN,AUTO,HOUSEDUR,LEISLUX,CONSSERV,MEDIA,RETAIL,PERSPRD,BEV,FOODPROD,HEALTH,BANKS,DVFININS,REALEST,SOFTWARE,HDWRSEMI,UTILITIE,COUNTRY,
BETA,24.416378,-3.320892,-6.422402,-0.084859,11.338906,0.817447,0.206065,-0.482895,2.720707,2.944470,-1.628003,-0.103737,-5.299019,-4.329170,-1.854729,12.601510,-5.822513,-4.692721,4.059788,4.775407,2.176066,0.307425,-0.245762,-3.555684,-10.953758,2.362140,4.202646,-2.376564,-2.201064,-2.383409,1.787605,2.428379,-4.501574,-7.569756,-9.559699,-1.949545,-4.157674,7.672446,-0.702327,3.385789,9.167096,2.396295,80.699554,
MOMENTUM,-3.320892,25.470656,5.755354,-0.338766,-2.040214,1.773554,-3.804246,-1.667603,-3.110057,-0.542788,-5.099959,-1.844556,-0.654043,-5.381639,-1.086269,-16.039539,1.294164,-0.447559,1.539870,-5.716889,-3.098594,-3.740137,1.181401,-0.304426,-14.884541,-3.906018,-2.081211,4.134569,1.864855,-0.960068,-4.825435,0.229601,10.263254,13.617771,3.495348,15.250426,0.764909,-13.028471,-2.827582,-0.797225,0.578579,-1.488122,-18.019476,
SIZE,-6.422402,5.755354,16.942193,2.260937,-8.021882,0.237857,-0.704497,0.419879,-2.208258,-2.138286,4.486481,-2.636419,4.661513,5.666875,-2.365723,-13.176521,-0.702541,3.184799,-5.323865,-5.683864,-2.900839,0.565314,-5.346159,0.405174,5.087099,0.076299,-2.183151,3.524465,-0.567937,4.085205,-9.285376,-1.539331,1.402202,10.707965,0.396022,-3.401349,0.455506,2.968550,3.921728,-7.706482,-6.560605,-3.385149,-15.770462,
EARNYILD,-0.084859,-0.338766,2.260937,7.138139,-0.670540,-0.726785,-1.356239,0.063665,-0.151988,-1.382815,3.593832,2.107742,8.958909,2.175438,-0.352859,-10.438965,5.117632,2.106625,-2.060023,-0.359420,0.959486,-0.569586,1.574043,2.796270,4.012571,-1.540726,-2.516026,3.259575,1.662051,3.307850,-1.578763,-0.700210,2.014625,5.738820,0.103325,-1.503918,-0.681456,4.658891,4.545563,-5.227221,-5.601630,-3.411470,6.350699,
RESVOL,11.338906,-2.040214,-8.021882,-0.670540,17.768773,1.119906,0.974375,-1.377607,1.116649,2.399862,-4.438030,0.581265,-10.151725,-6.401538,0.348768,7.972580,-2.344372,-4.734837,5.140248,9.853995,1.813993,1.163109,2.385356,-1.243723,-17.818388,-0.449825,3.382898,-1.452921,1.441029,-5.898562,6.661228,1.897934,0.118886,-6.478615,-3.942410,11.656848,-3.706700,-3.557502,-5.753286,7.762064,7.482384,1.048835,41.392359,
GROWTH,0.817447,1.773554,0.237857,-0.726785,1.119906,2.732838,-0.621678,-0.575213,-1.483266,0.149873,-3.042214,0.012819,-2.672741,-3.313984,0.340407,-4.221571,-0.204445,-1.787639,3.348296,-0.100170,0.587721,-1.019256,1.832395,-0.221742,-7.989967,-1.594924,1.807670,2.332058,0.908549,-0.372286,2.388005,0.012021,1.720776,3.123247,0.331465,4.041352,-0.936948,-4.489466,-2.534256,4.377197,4.395465,-0.694796,2.511592,
BTOP,0.206065,-3.804246,-0.704497,-1.356239,0.974375,-0.621678,8.091009,1.353413,0.650023,-0.412246,2.616998,-0.627765,1.812149,2.701967,0.329408,4.149970,-1.274992,2.497192,-0.113048,4.806914,0.096879,2.500227,-1.362396,-0.247431,8.275997,-0.080660,-0.842433,-3.261435,-1.416318,-0.115991,0.692914,0.311063,-5.024857,-6.852336,-0.886620,-3.073557,-3.734228,8.857086,1.021401,2.439206,-0.866414,1.591776,3.498692,
LEVERAGE,-0.482895,-1.667603,0.419879,0.063665,-1.377607,-0.575213,1.353413,2.630904,-0.235212,-0.330003,3.388643,1.274700,5.602795,5.551154,1.197932,1.390365,2.576091,2.252446,-0.861971,1.064128,0.820581,1.257019,-1.259692,-0.060746,7.142649,0.995957,0.982996,-0.629589,0.458891,1.628870,-2.370156,0.105098,-3.023972,0.868888,-0.258193,-4.360198,-1.719570,2.556718,3.131302,-4.624578,-4.023162,-0.496839,-0.607243,
LIQUIDTY,2.720707,-3.110057,-2.208258,-0.151988,1.116649,-1.483266,0.650023,-0.235212,11.730433,2.047265,3.575566,1.416299,-2.194546,3.634069,-1.777820,10.161438,-4.848256,-0.444890,1.125892,1.108610,1.215649,0.254272,-1.802764,-1.993630,3.382437,2.586586,2.175747,-5.417417,-3.822710,-6.099847,-1.133613,-2.427265,-11.888294,-14.587000,-9.781456,-7.191497,-1.437737,8.616781,-1.826411,0.957938,2.897161,2.750438,25.042027,
SIZENL,2.944470,-0.542788,-2.138286,-1.382815,2.399862,0.149873,-0.412246,-0.330003,2.047265,8.256701,-1.274017,2.472901,-2.149675,1.650576,-0.036059,12.048474,0.273145,-1.380450,0.082594,3.536035,0.904092,1.121644,-0.717974,-1.145702,-3.851118,-0.118702,-0.332736,-2.335367,-0.290173,-1.444281,2.802365,2.647045,-1.943642,-8.984184,0.953974,0.467033,-2.643774,2.769509,-2.557810,5.010674,4.030207,-0.185222,15.965687,
ENERGY,-1.628003,-5.099959,4.486481,3.593832,-4.438030,-3.042214,2.616998,3.388643,3.575566,-1.274017,96.174600,16.330484,19.877219,47.132257,-1.288062,5.527489,8.440186,4.971006,-5.596780,14.012911,1.254240,5.089721,-8.188496,-6.364811,33.074132,-0.426926,-3.207333,-13.557730,-7.528121,-5.059725,-18.152981,-12.328135,-21.537722,1.783478,-3.322066,-39.777646,-14.073964,-10.857648,-2.213862,-25.600694,-21.698251,3.844866,2.002659,
CHEM,-0.103737,-1.844556,-2.636419,2.107742,0.581265,0.012819,-0.627765,1.274700,1.416299,2.472901,16.330484,57.279612,32.337132,26.757262,21.772398,10.762688,25.707745,7.566392,20.805145,29.025641,17.064855,10.637870,11.433172,4.457134,22.292019,3.776885,26.063958,14.917052,21.729766,12.400095,1.792941,7.326636,9.774500,16.835418,24.179706,15.176948,-41.875276,-45.109676,-6.358423,-6.733515,3.082306,4.309735,-0.528478,
CONMAT,-5.299019,-0.654043,4.661513,8.958909,-10.151725,-2.672741,1.812149,5.602795,-2.194546,-2.149675,19.877219,32.337132,234.345779,44.163798,23.637665,-0.831784,99.491836,53.874431,2.817887,35.574368,25.934347,9.574717,25.884644,6.468758,35.298773,11.336544,3.082856,24.467895,11.669749,55.251648,-9.421356,9.422025,16.019534,28.846521,34.700786,-10.258805,-48.349492,-35.700508,30.005918,-26.772336,-29.193990,2.102978,-13.956956,
MTLMIN,-4.329170,-5.381639,5.666875,2.175438,-6.401538,-3.313984,2.701967,5.551154,3.634069,1.650576,47.132257,26.757262,44.163798,136.547499,11.081851,37.432163,26.904136,6.156841,4.843221,15.343773,10.489362,9.560045,-9.548058,-9.004058,30.211822,-0.049100,16.209524,-1.432847,3.907035,3.564729,-12.063819,-5.047201,-14.945083,6.692190,4.330895,-33.654930,-35.900909,-19.732327,1.188404,-22.262203,-17.080794,-1.026030,-3.628783,
MATERIAL,-1.854729,-1.086269,-2.365723,-0.352859,0.348768,0.340407,0.329408,1.197932,-1.777820,-0.036059,-1.288062,21.772398,23.637665,11.081851,70.121570,-2.959228,24.129220,3.404669,13.577622,29.271619,10.639867,9.362488,11.484030,8.684737,18.091939,9.101969,22.227341,19.136082,24.403379,21.091466,9.343181,17.260173,14.147640,21.381113,24.187422,13.798075,-31.583103,-33.834334,2.800492,-1.226341,2.647867,5.794658,-9.068564,
