BARRID,SHARES,
CHNAAA2,317109630,
CHNAAB2,1961325774,
CHNAAC2,710914605,
CHNAAD2,624687999,
CHNAAE2,934791624,
CHNAAF2,749839976,
CHNAAG2,1563316364,
CHNAAI1,599130647,
CHNAAJ1,1511487658,
CHNAAK2,1862196763,
CHNAAL1,1074303000,
CHNAAM1,479319978,
CHNAAN2,302987600,
CHNAAO2,1742469694,
CHNAAP1,181165400,
CHNAAQ2,1596593800,
CHNAAS1,528373900,
CHNAAT2,1100785974,
CHNAAU2,9724196533,
CHNAAY1,832703498,
CHNAAZ1,165052625,
CHNABB1,4286313338,
CHNABD1,3013897259,
CHNABE1,6096135252,
CHNABF1,4402144257,
CHNABG1,2507028014,
CHNABI1,850236703,
CHNABJ1,853460723,
CHNABK1,898822204,
CHNABL1,184819600,
CHNABM1,726950251,
CHNABN1,1012083455,
CHNABO1,821435180,
CHNABP1,2506955076,
CHNABQ1,311573901,
CHNABR1,201705200,
CHNABS1,864122520,
CHNABU1,673396786,
CHNABV1,1499685402,
CHNABW1,12168154385,
CHNABX1,344083828,
CHNABY1,1311200558,
CHNABZ2,390560075,
CHNACA1,1060899292,
CHNACD1,686677112,
CHNACE1,147344600,
CHNACF1,2933461440,
CHNACG1,5967751186,
CHNACH1,1346132221,
CHNACI1,286548830,
CHNACK1,740777550,
CHNACP1,2418791675,
CHNACR1,346448044,
CHNACS1,4757389916,
CHNACU1,891660100,
CHNACV1,3414500201,
CHNACW1,684712010,
CHNACX1,974914344,
CHNACY1,7328813500,
CHNACZ1,230598947,
CHNADA1,852291316,
CHNADB1,1946380317,
CHNADC1,930424895,
CHNADD1,19405918198,
CHNADE1,348990000,
CHNADF1,929017761,
CHNADH1,328861411,
CHNADJ1,2106190178,
CHNADL1,709113617,
CHNADN1,881733881,
CHNADO1,768992730,
CHNADP1,2194891204,
CHNADQ1,373242508,
CHNADS1,3883498464,
CHNADU1,521791700,
CHNADV1,1349994883,
CHNADW1,957930404,
CHNADY1,361173881,
CHNADZ1,392778320,
CHNAEA1,485000000,
CHNAEB1,366467152,
CHNAEC1,304645850,
CHNAED2,806504300,
CHNAEE1,5469137919,
CHNAEF1,747416067,
CHNAEG2,13569378551,
CHNAEH2,521892530,
CHNAEI1,1535121660,
CHNAEJ1,1118585045,
CHNAEK1,4616244222,
CHNAEL1,1604449920,
CHNAEM1,4451875986,
CHNAEN1,795695940,
CHNAEO1,5808527792,
CHNAEP1,662753072,
CHNAEQ1,535920895,
CHNAER1,477381900,
CHNAES1,1630804729,
CHNAET1,3714576124,
CHNAEV1,2529575634,
CHNAEX1,4912038316,
CHNAEY1,1227326240,
CHNAEZ1,624761516,
CHNAFA1,2266863331,
CHNAFD1,438536633,
CHNAFE1,2375981952,
CHNAFF1,898229148,
CHNAFG1,583790400,
CHNAFI1,1361879855,
CHNAFJ1,519214000,
CHNAFK1,519458600,
CHNAFL1,850894494,
CHNAFN1,834410032,
CHNAFO1,1368084624,
CHNAFP1,1464752476,
CHNAFQ1,1898148700,
CHNAFR2,801936439,
CHNAFS1,646875384,
CHNAFT1,454322747,
CHNAFU1,1053362191,
CHNAFV1,2219352746,
CHNAFX1,3144096094,
CHNAFY1,871528266,
CHNAFZ1,837375757,
CHNAGA1,1058536842,
CHNAGB1,2851878595,
CHNAGC1,1087228430,
CHNAGD1,1221498013,
CHNAGE1,3100021848,
CHNAGF1,2033988516,
CHNAGG1,3303791344,
CHNAGH1,796637194,
CHNAGI3,10997709919,
CHNAGK1,858175252,
CHNAGL2,5652237000,
CHNAGU2,7922317431,
CHNAGY1,298540432,
CHNAHH1,822161695,
CHNAHI2,956000063,
CHNAHJ1,6308552654,
CHNAHK1,1471259363,
CHNAHL1,1621922452,
CHNAHM1,411374400,
CHNAHN2,1742160076,
CHNAHO1,2779764130,
CHNAHP1,1077280071,
CHNAHQ2,1007947069,
CHNAHS2,383600000,
CHNAHT2,3475371532,
CHNAHU2,5363396174,
CHNAHV2,679715472,
CHNAHW1,4609666212,
CHNAHX1,4604777412,
CHNAHY1,814064000,
CHNAIA1,1599442537,
CHNAIB2,1749517684,
CHNAIC1,10618607300,
CHNAIF1,11202731426,
CHNAIH2,989210535,
CHNAII2,276100000,
CHNAIJ2,1534675151,
CHNAIL1,513300000,
CHNAIN1,1407454804,
CHNAIP1,1762733196,
CHNAIQ1,237957910,
CHNAIR1,738206110,
CHNAIT1,396147908,
CHNAIU1,822730634,
CHNAIV1,522777419,
CHNAIZ1,1994922712,
CHNAJ31,458344279,
CHNAJ71,316805000,
CHNAJ81,776250350,
CHNAJ91,604692321,
CHNAJD1,153287400,
CHNAJE1,293718653,
CHNAJF1,458248400,
CHNAJI1,579888597,
CHNAJK1,424861600,
CHNAJL1,188020500,
CHNAJP1,152204100,
CHNAJQ1,1301923953,
CHNAJR1,1054027073,
CHNAJS1,338908150,
CHNAJT1,446936884,
CHNAJW1,1774094480,
CHNAJY1,717047417,
CHNAJZ1,601712507,
CHNAK31,690816000,
CHNAK51,1475921376,
CHNAK61,670208597,
CHNAK91,1335979264,
CHNAKB1,1644636426,
CHNAKG1,442861324,
CHNAKI1,3964012846,
CHNAKJ1,480793320,
CHNAKK1,491785096,
CHNAKN1,664831139,
CHNAKO1,1060346060,
CHNAKP1,5196200656,
CHNAKS1,825483118,
CHNAKY1,2177071961,
CHNAKZ1,1257026847,
CHNAL31,3248913587,
CHNAL41,1093332092,
CHNAL51,2719271284,
CHNAL61,760937576,
CHNAL71,615420000,
CHNAL81,409309045,
CHNAL91,797589304,
CHNALA1,239471267,
CHNALB1,6965873347,
CHNALC1,744761552,
CHNALD1,6083211833,
CHNALF1,579194925,
CHNALG1,366346010,
CHNALH1,3007098032,
CHNALI1,1024705400,
CHNALJ1,1931780892,
CHNALK1,617585803,
CHNALM1,1628009229,
CHNALN1,1366654379,
CHNALO1,859946895,
CHNALP1,2665594238,
CHNALQ1,538400659,
CHNALR1,1731982546,
CHNALT1,1548689550,
CHNALU1,1923016618,
CHNALV1,559464188,
CHNALW1,358631009,
CHNALX1,986833096,
CHNALY1,252523800,
CHNALZ1,822259233,
CHNAM11,493739128,
CHNAM21,297810000,
CHNAM41,376240300,
CHNAM51,1004901546,
CHNAM61,426852228,
CHNAM71,1432394299,
CHNAM81,159088075,
CHNAMB1,739019166,
CHNAMC1,2123749330,
CHNAMD1,2986218600,
CHNAMH1,2599982463,
CHNAML1,1393049107,
CHNAMM1,9654631180,
CHNAMN1,121778900,
CHNAMO1,710457531,
CHNAMP1,288176273,
CHNAMQ1,1283020992,
CHNAMR1,215411610,
CHNAMS1,1034735218,
CHNAMT1,336179100,
CHNAMU1,8919974627,
CHNAMV1,433592220,
CHNAMX1,1350702476,
CHNAMY1,400881981,
CHNAN31,1277403317,
CHNAN41,523199664,
CHNAN51,2080570520,
CHNAN71,4479341308,
CHNAN91,5062182040,
CHNANA1,3588389731,
CHNANB1,334469431,
CHNANC1,351764000,
CHNAND1,1605421646,
CHNANF1,1791626376,
CHNANG1,575732100,
CHNANI1,1044887850,
CHNANK1,1002406266,
CHNANM1,224320000,
CHNANO1,193440000,
CHNANP1,528583135,
CHNANQ1,1347522914,
CHNANT1,1306749434,
CHNANU1,2314463888,
CHNANV1,1041611243,
CHNANW1,544655360,
CHNANY1,669004950,
CHNANZ1,1242370295,
CHNAO11,375134355,
CHNAO21,695995979,
CHNAO31,1486873870,
CHNAO41,139143680,
CHNAO51,520066589,
CHNAO71,884634731,
CHNAO81,936060590,
CHNAO91,2988929907,
CHNAOA1,680319676,
CHNAOB1,2228636743,
CHNAOC1,5982004024,
CHNAOD1,492434666,
CHNAOE1,1232470000,
CHNAOG1,510931166,
CHNAOH1,1993779522,
CHNAOL1,2411667648,
CHNAOM1,6184521282,
CHNAON1,5480250117,
CHNAOO1,776290282,
CHNAOP1,880084656,
CHNAOQ1,932322427,
CHNAOR1,658407554,
CHNAOS1,404599600,
CHNAOT1,1757407497,
CHNAOU1,1445241071,
CHNAOV1,1970862426,
CHNAOY1,248939935,
CHNAOZ1,1684035945,
CHNAP11,586656002,
CHNAP31,2138848228,
CHNAP41,1781124274,
CHNAP61,406528465,
CHNAP81,1483934026,
CHNAP91,400080450,
CHNAPB1,1634616854,
CHNAPC1,355222698,
CHNAPF1,659458406,
CHNAPG1,543582600,
CHNAPH1,1018926000,
CHNAPJ1,1970706656,
CHNAPK1,897866712,
CHNAPL1,572646934,
CHNAPM1,609182200,
CHNAPN1,2036329187,
CHNAPO1,1862520720,
CHNAPP1,1837192219,
CHNAPQ1,1151292907,
CHNAPR1,622372316,
CHNAPT1,1529709816,
CHNAPV1,773464476,
CHNAPW1,3152723983,
CHNAPY1,669120968,
CHNAQ31,689969345,
CHNAQ41,1080551669,
CHNAQ51,404817686,
CHNAQ71,7833668430,
CHNAQ81,2346100874,
CHNAQ91,630000000,
CHNAQA1,138756240,
CHNAQB1,1048348300,
CHNAQD1,1244937731,
CHNAQE1,2766032803,
CHNAQH1,765799353,
CHNAQI1,2573189052,
CHNAQJ1,749913346,
CHNAQK1,499215800,
CHNAQM1,3024359310,
CHNAQN1,2286971050,
CHNAQO1,972534764,
CHNAQP1,641138926,
CHNAQR1,714644396,
CHNAQS1,2355500851,
CHNAQT1,1400389285,
CHNAQV1,1844562891,
CHNAQW1,819854713,
CHNAQZ1,740180802,
CHNAR11,360000000,
CHNAR21,179200000,
CHNAR31,226965517,
CHNAR41,1017698410,
CHNAR81,1192199394,
CHNAR91,1870873364,
CHNARA1,299265522,
CHNARC1,352658600,
CHNARE1,819660744,
CHNARF1,1430234270,
CHNARG1,2263507518,
CHNARH1,12642079079,
CHNARI1,781180319,
CHNARJ1,1971049302,
CHNARK1,1322017393,
CHNARL1,374977200,
CHNARM1,1896690420,
CHNARN1,491999697,
CHNARO1,710629386,
CHNARP1,939680840,
CHNARR1,320640000,
CHNART1,133747200,
CHNARU1,10526533308,
CHNARV1,1300000000,
CHNARW1,542874902,
CHNARX1,303087602,
CHNARY1,341010200,
CHNARZ1,425226000,
CHNAS11,352280000,
CHNAS31,465519600,
CHNAS41,4940629165,
CHNAS51,671838529,
CHNAS61,8589746250,
CHNAS71,226948002,
CHNAS91,2432519168,
CHNASB1,519875356,
CHNASC1,6800495825,
CHNASD1,224226805,
CHNASE1,385106373,
CHNASF1,1054290442,
CHNASG1,1399938234,
CHNASH1,488545700,
CHNASI1,595340200,
CHNASK1,309400000,
CHNASL1,5339715816,
CHNASM1,523330000,
CHNASN1,680408797,
CHNASO1,627157512,
CHNASP1,311491352,
CHNASQ1,336683929,
CHNASS1,1079428095,
CHNASU1,1285702520,
CHNASV1,1397268615,
CHNASY1,1325700535,
CHNAT11,568177846,
CHNAT21,981883523,
CHNAT31,146841900,
CHNAT41,3188722696,
CHNAT51,1340727007,
CHNAT61,813619900,
CHNAT81,791550441,
CHNAT91,356400000,
CHNATA1,4120361854,
CHNATB1,1137299300,
CHNATC1,816627300,
CHNATD1,1696964131,
CHNATE1,2199801033,
CHNATG1,989923600,
CHNATH1,225631280,
CHNATI1,459611796,
CHNATL1,1240787700,
CHNATM1,863978000,
CHNATP1,452880000,
CHNATQ1,819514395,
CHNATR1,700577436,
CHNATS1,3569685327,
CHNATT1,2175887862,
CHNATU1,3924206991,
CHNATV1,766199362,
CHNATW1,1475111351,
CHNATY1,880229735,
CHNATZ1,323270000,
CHNAU11,532833000,
CHNAU21,1212152157,
CHNAU31,1045909322,
CHNAU41,222147600,
CHNAU51,176904002,
CHNAU61,917052654,
CHNAU81,5047143433,
CHNAUB1,3034636383,
CHNAUC1,1023667816,
CHNAUD1,695433689,
CHNAUF1,499055920,
CHNAUH1,1151513578,
CHNAUI1,4529566980,
CHNAUJ1,1178523492,
CHNAUL1,1145642400,
CHNAUM1,263758500,
CHNAUN1,3681645407,
CHNAUO1,383417640,
CHNAUP1,437412524,
CHNAUQ1,313560000,
CHNAUR1,1689507842,
CHNAUS1,5444525514,
CHNAUT1,1556959203,
CHNAUU1,2681990294,
CHNAUV1,1570998213,
CHNAUW1,469264560,
CHNAUX1,2726196558,
CHNAUY1,2818539341,
CHNAV11,733329168,
CHNAV21,2249161747,
CHNAV31,5529588127,
CHNAV41,1182489135,
CHNAV51,1912142904,
CHNAV61,1946915121,
CHNAV71,8201793915,
CHNAV91,246767500,
CHNAVA1,797373678,
CHNAVC1,1148498366,
CHNAVD1,1218412038,
CHNAVF1,936291116,
CHNAVG1,715900255,
CHNAVH1,3919826352,
CHNAVI1,1163040875,
CHNAVK1,528139622,
CHNAVL1,11683461365,
CHNAVM1,7993710201,
CHNAVO1,1076419001,
CHNAVP1,1225208160,
CHNAVQ1,2963898951,
CHNAVR1,6529036899,
CHNAVS1,1045118252,
CHNAVT1,1424503318,
CHNAVU1,988828300,
CHNAVW1,553307099,
CHNAWC1,836570570,
CHNAWF1,16436673928,
CHNAWG1,163000000,
CHNAWJ1,3321997660,
CHNAWK1,562184650,
CHNAWL1,453460800,
CHNAWP1,2660000000,
CHNAWT1,3815747500,
CHNAWW1,1433270326,
CHNAXW1,2523777297,
CHNAXZ1,531871500,
CHNAYA1,779884200,
CHNAYB1,654021600,
CHNAYD1,402491731,
CHNAYE1,207197738,
CHNAYF1,2457747661,
CHNAYK1,843770946,
CHNAYL1,3183922485,
CHNAYM1,1029556222,
CHNAYP1,627533125,
CHNAYS1,96195100,
CHNAYT1,685082000,
CHNAYU1,344708400,
CHNAYW1,7005254679,
CHNAYX1,974684488,
CHNAYY1,1458374735,
CHNAYZ1,1289223949,
CHNAZB1,638280604,
CHNAZG1,533901758,
CHNAZN1,467969890,
CHNAZQ1,2002986332,
CHNAZW1,1028492944,
CHNAZY1,1442740310,
CHNAZZ1,1488715304,
CHNBAB1,1854853499,
CHNBAC1,3493659337,
CHNBAD1,324098753,
CHNBAE1,1146502523,
CHNBAF1,744359294,
CHNBAH1,715026758,
CHNBAK1,223086347,
CHNBAO1,1024805418,
CHNBAP1,236747901,
CHNBAQ1,337822022,
CHNBAR1,895233111,
CHNBAS1,6015730878,
CHNBAT1,1475573820,
CHNBAV1,1093097734,
CHNBAW1,2340452915,
CHNBAX1,438582129,
CHNBAZ1,1969378423,
CHNBBA1,681021500,
CHNBBC1,324928980,
CHNBBD1,2780795346,
CHNBBG1,2579213965,
CHNBBQ1,1926958448,
CHNBBR1,319455000,
CHNBBT1,1430578784,
CHNBBY2,33862285275,
CHNBCA1,191090731,
CHNBCB1,4504101656,
CHNBCC1,616360721,
CHNBCD1,661890508,
CHNBCE1,584618623,
CHNBCF1,3377189083,
CHNBCG1,914224256,
CHNBCH1,1195394544,
CHNBCJ1,97217600,
CHNBCK1,1158258350,
CHNBCL1,709569692,
CHNBCM1,276100500,
CHNBCN1,3128206556,
CHNBCO1,1099911762,
CHNBCP1,2050769508,
CHNBCQ1,3881608005,
CHNBCT1,1925894692,
CHNBCU1,803000258,
CHNBCV1,1043237710,
CHNBCW1,4363777891,
CHNBCX1,1371470262,
CHNBCY1,540816199,
CHNBDA1,415718940,
CHNBDB1,1068485534,
CHNBDC1,404720290,
CHNBDD1,230000000,
CHNBDE1,1145026900,
CHNBDF1,354605865,
CHNBDG1,1392558982,
CHNBDH1,723840000,
CHNBDI1,2928182053,
CHNBDK1,514805618,
CHNBDL1,483971198,
CHNBDN1,1329025062,
CHNBDO1,556890744,
CHNBDP1,19650397845,
CHNBDR1,753802488,
CHNBDS1,526913102,
CHNBDU1,2305817807,
CHNBDV1,2488901440,
CHNBDW1,991481071,
CHNBDX1,1492110725,
CHNBDY1,4078093052,
CHNBDZ1,1208455224,
CHNBEA1,373270285,
CHNBEB1,1039517000,
CHNBEC1,536966000,
CHNBED1,743999550,
CHNBEE1,509204845,
CHNBEF1,896000000,
CHNBEG1,1997245457,
CHNBEH1,240936559,
CHNBEJ1,1150587847,
CHNBEK1,464158300,
CHNBEL1,771844628,
CHNBEM1,1350000000,
CHNBEN1,360000000,
CHNBEO1,464145800,
CHNBEP1,1409869279,
CHNBER1,266634600,
CHNBES1,3633066000,
