BARRID,SED-CUS,LOCID,NAME,HBETA,PBETA,SRISK%,TRISK%,COUNTRY,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,INDNAME,IND,PRICE,CAPITALIZATION,YLD%,ESTU,ISOCURR,INTRA_MONTH_ADDITION,
CHNAAA2,,CN600612,LAOFENGXIANGCOLTD,0.909,0.945,31.008,38.694,1.000,-0.318,-0.999,-0.802,0.331,-0.400,-0.225,-0.419,0.246,-0.501,0.974,LEISLUX,19,48.060,15240288817.800,2.439,1,CNY,0,
CHNAAA3,,CN600612,LAOFENGXIANGCOLTD,0.909,0.945,31.008,38.694,1.000,-0.318,-0.999,-0.802,0.331,-0.400,-0.225,-0.419,0.246,-0.501,0.974,LEISLUX,19,48.060,15240288817.800,2.439,0,CNY,0,
CHNAAB2,,CN000012,CSGHOLDINGCOLTD,1.275,1.232,36.545,48.600,1.000,0.979,1.554,-0.996,0.011,0.102,-0.270,0.137,-0.053,1.488,1.077,CONMAT,3,6.650,13042816397.100,1.022,1,CNY,0,
CHNAAB3,,CN000012,CSGHOLDINGCOLTD,1.277,1.232,36.545,48.600,1.000,0.979,1.554,-0.996,0.011,0.102,-0.270,0.137,-0.053,1.488,1.077,CONMAT,3,6.650,13042816397.100,1.022,0,CNY,0,
CHNAAC2,,CN600610,SHANGHAIZHONGYIDA,,0.952,48.555,54.996,1.000,-0.200,-0.897,-2.350,-0.615,-0.156,-1.983,-1.380,-0.843,-1.293,-0.004,COMSERV,13,4.550,3234661452.750,0.000,1,CNY,0,
CHNAAD2,,CN000513,LIVZONPHARMACEUTICALGROUPINC,1.051,1.015,26.409,37.406,1.000,0.187,0.012,-0.234,-0.165,-0.247,-0.218,-0.471,-0.932,0.589,0.491,HEALTH,26,42.680,26661683797.320,2.726,1,CNY,0,
CHNAAD3,,CN000513,LIVZONPHARMACEUTICALGROUPINC,1.051,1.015,26.409,37.406,1.000,0.187,0.012,-0.234,-0.165,-0.247,-0.218,-0.471,-0.932,0.589,0.491,HEALTH,26,42.680,26661683797.320,2.726,0,CNY,0,
CHNAAE2,,CN600648,SHANGHAIWAIGAOQIAOFREETRADEZONE,0.793,0.847,32.329,38.929,1.000,-0.727,-0.579,-1.057,0.074,-0.785,-0.556,0.653,1.864,-0.642,1.100,TRDDIST,12,14.290,13358172306.960,1.636,1,CNY,0,
CHNAAE3,,CN600648,SHANGHAIWAIGAOQIAOFREETRADEZONE,0.793,0.847,32.329,38.929,1.000,-0.727,-0.579,-1.057,0.074,-0.785,-0.556,0.653,1.864,-0.642,1.100,TRDDIST,12,14.290,13358172306.960,1.636,0,CNY,0,
CHNAAF2,,CN600618,SHANGHAICHLOR-ALKALICHEMICALCOL,0.730,0.905,30.664,38.801,1.000,-0.950,-1.345,-1.758,0.472,-0.496,-0.134,0.310,-1.092,-0.722,0.945,CHEM,2,7.590,5691285417.840,1.274,1,CNY,0,
CHNAAF3,,CN600618,SHANGHAICHLOR-ALKALICHEMICALCOL,0.730,0.905,30.664,38.801,1.000,-0.950,-1.345,-1.758,0.472,-0.496,-0.134,0.310,-1.092,-0.722,0.945,CHEM,2,7.590,5691285417.840,1.274,0,CNY,0,
CHNAAG2,,CN600611,DAZHONGTRANSPORTATIONGROUPCOLTD,0.749,0.728,20.929,29.916,1.000,-0.885,-0.953,-1.719,1.087,-1.982,-0.055,1.979,0.031,-1.764,0.978,RDRLTRAN,16,3.570,5581039419.480,3.397,1,CNY,0,
CHNAAG3,,CN600611,DAZHONGTRANSPORTATIONGROUPCOLTD,0.749,0.728,20.929,29.916,1.000,-0.885,-0.953,-1.719,1.087,-1.982,-0.055,1.979,0.031,-1.764,0.978,RDRLTRAN,16,3.570,5581039419.480,3.397,0,CNY,0,
CHNAAI1,,CN600619,SHANGHAIHIGHLYGROUPCOLTD,0.686,0.870,26.574,35.693,1.000,-1.105,-1.625,-1.983,0.739,-0.507,0.547,0.790,-0.370,-1.647,0.688,MACH,11,7.480,4481497239.560,2.432,1,CNY,0,
