InstrumentID,Direction,OffsetFlag,LongPos,TradingDate,StrategyID,AccountID,ShortPos
000004.SZE,0,0,4600,2020-12-09,@hljk1alpha,hljk1alpha,0
000005.SZE,0,0,15500,2020-12-09,@hljk1alpha,hljk1alpha,0
000009.SZE,0,0,7800,2020-12-09,@hljk1alpha,hljk1alpha,0
000012.SZE,0,0,8300,2020-12-09,@hljk1alpha,hljk1alpha,0
000014.SZE,0,0,6200,2020-12-09,@hljk1alpha,hljk1alpha,0
000019.SZE,0,0,14200,2020-12-09,@hljk1alpha,hljk1alpha,0
000020.SZE,0,0,11600,2020-12-09,@hljk1alpha,hljk1alpha,0
000021.SZE,0,0,5400,2020-12-09,@hljk1alpha,hljk1alpha,0
000023.SZE,0,0,6600,2020-12-09,@hljk1alpha,hljk1alpha,0
000026.SZE,0,0,9500,2020-12-09,@hljk1alpha,hljk1alpha,0
000027.SZE,0,0,20300,2020-12-09,@hljk1alpha,hljk1alpha,0
000030.SZE,0,0,15700,2020-12-09,@hljk1alpha,hljk1alpha,0
000032.SZE,0,0,5400,2020-12-09,@hljk1alpha,hljk1alpha,0
000035.SZE,0,0,24800,2020-12-09,@hljk1alpha,hljk1alpha,0
000036.SZE,0,0,27300,2020-12-09,@hljk1alpha,hljk1alpha,0
000042.SZE,0,0,8700,2020-12-09,@hljk1alpha,hljk1alpha,0
000045.SZE,0,0,13000,2020-12-09,@hljk1alpha,hljk1alpha,0
000046.SZE,0,0,28800,2020-12-09,@hljk1alpha,hljk1alpha,0
000055.SZE,0,0,24200,2020-12-09,@hljk1alpha,hljk1alpha,0
000056.SZE,0,0,32000,2020-12-09,@hljk1alpha,hljk1alpha,0
000059.SZE,0,0,20400,2020-12-09,@hljk1alpha,hljk1alpha,0
000060.SZE,0,0,24500,2020-12-09,@hljk1alpha,hljk1alpha,0
000061.SZE,0,0,8000,2020-12-09,@hljk1alpha,hljk1alpha,0
000062.SZE,0,0,7800,2020-12-09,@hljk1alpha,hljk1alpha,0
000065.SZE,0,0,14450,2020-12-09,@hljk1alpha,hljk1alpha,0
000068.SZE,0,0,7900,2020-12-09,@hljk1alpha,hljk1alpha,0
000078.SZE,0,0,28100,2020-12-09,@hljk1alpha,hljk1alpha,0
000088.SZE,0,0,16700,2020-12-09,@hljk1alpha,hljk1alpha,0
000089.SZE,0,0,13200,2020-12-09,@hljk1alpha,hljk1alpha,0
000096.SZE,0,0,11300,2020-12-09,@hljk1alpha,hljk1alpha,0
000099.SZE,0,0,15500,2020-12-09,@hljk1alpha,hljk1alpha,0
000151.SZE,0,0,5100,2020-12-09,@hljk1alpha,hljk1alpha,0
000158.SZE,0,0,15400,2020-12-09,@hljk1alpha,hljk1alpha,0
000301.SZE,0,0,11304,2020-12-09,@hljk1alpha,hljk1alpha,0
000400.SZE,0,0,7200,2020-12-09,@hljk1alpha,hljk1alpha,0
000401.SZE,0,0,5400,2020-12-09,@hljk1alpha,hljk1alpha,0
000403.SZE,0,0,2900,2020-12-09,@hljk1alpha,hljk1alpha,0
000404.SZE,0,0,12500,2020-12-09,@hljk1alpha,hljk1alpha,0
000415.SZE,0,0,21100,2020-12-09,@hljk1alpha,hljk1alpha,0
000417.SZE,0,0,22499,2020-12-09,@hljk1alpha,hljk1alpha,0
000420.SZE,0,0,11900,2020-12-09,@hljk1alpha,hljk1alpha,0
000426.SZE,0,0,11000,2020-12-09,@hljk1alpha,hljk1alpha,0
000430.SZE,0,0,3200,2020-12-09,@hljk1alpha,hljk1alpha,0
000498.SZE,0,0,22200,2020-12-09,@hljk1alpha,hljk1alpha,0
000501.SZE,0,0,4400,2020-12-09,@hljk1alpha,hljk1alpha,0
000502.SZE,0,0,14700,2020-12-09,@hljk1alpha,hljk1alpha,0
000503.SZE,0,0,10900,2020-12-09,@hljk1alpha,hljk1alpha,0
000506.SZE,0,0,9700,2020-12-09,@hljk1alpha,hljk1alpha,0
000507.SZE,0,0,15900,2020-12-09,@hljk1alpha,hljk1alpha,0
000510.SZE,0,0,21400,2020-12-09,@hljk1alpha,hljk1alpha,0
000513.SZE,0,0,2600,2020-12-09,@hljk1alpha,hljk1alpha,0
000514.SZE,0,0,1300,2020-12-09,@hljk1alpha,hljk1alpha,0
000516.SZE,0,0,12400,2020-12-09,@hljk1alpha,hljk1alpha,0
000517.SZE,0,0,18700,2020-12-09,@hljk1alpha,hljk1alpha,0
000520.SZE,0,0,30700,2020-12-09,@hljk1alpha,hljk1alpha,0
000521.SZE,0,0,16300,2020-12-09,@hljk1alpha,hljk1alpha,0
000523.SZE,0,0,29800,2020-12-09,@hljk1alpha,hljk1alpha,0
000524.SZE,0,0,6900,2020-12-09,@hljk1alpha,hljk1alpha,0
000526.SZE,0,0,2400,2020-12-09,@hljk1alpha,hljk1alpha,0
000528.SZE,0,0,14800,2020-12-09,@hljk1alpha,hljk1alpha,0
000529.SZE,0,0,16200,2020-12-09,@hljk1alpha,hljk1alpha,0
000530.SZE,0,0,14200,2020-12-09,@hljk1alpha,hljk1alpha,0
000531.SZE,0,0,11700,2020-12-09,@hljk1alpha,hljk1alpha,0
000532.SZE,0,0,8700,2020-12-09,@hljk1alpha,hljk1alpha,0
000533.SZE,0,0,9700,2020-12-09,@hljk1alpha,hljk1alpha,0
000534.SZE,0,0,8800,2020-12-09,@hljk1alpha,hljk1alpha,0
000537.SZE,0,0,9300,2020-12-09,@hljk1alpha,hljk1alpha,0
000539.SZE,0,0,31100,2020-12-09,@hljk1alpha,hljk1alpha,0
000541.SZE,0,0,19100,2020-12-09,@hljk1alpha,hljk1alpha,0
000543.SZE,0,0,28700,2020-12-09,@hljk1alpha,hljk1alpha,0
000544.SZE,0,0,15900,2020-12-09,@hljk1alpha,hljk1alpha,0
000546.SZE,0,0,8600,2020-12-09,@hljk1alpha,hljk1alpha,0
000547.SZE,0,0,5400,2020-12-09,@hljk1alpha,hljk1alpha,0
000550.SZE,0,0,3000,2020-12-09,@hljk1alpha,hljk1alpha,0
000551.SZE,0,0,13100,2020-12-09,@hljk1alpha,hljk1alpha,0
000553.SZE,0,0,2600,2020-12-09,@hljk1alpha,hljk1alpha,0
000554.SZE,0,0,24600,2020-12-09,@hljk1alpha,hljk1alpha,0
000559.SZE,0,0,13180,2020-12-09,@hljk1alpha,hljk1alpha,0
000561.SZE,0,0,16300,2020-12-09,@hljk1alpha,hljk1alpha,0
000563.SZE,0,0,14900,2020-12-09,@hljk1alpha,hljk1alpha,0
000565.SZE,0,0,22400,2020-12-09,@hljk1alpha,hljk1alpha,0
000567.SZE,0,0,11100,2020-12-09,@hljk1alpha,hljk1alpha,0
