SecuCode,TradingDay,PrevClosePrice,OpenPrice,HighPrice,LowPrice,ClosePrice,TurnoverVolume,TurnoverValue,SecuMarket,SecuCategory,ListedDate,TradeState,SpecialTradeType,Split,Dividend,ActualPlaRatio,PlaPrice,BaseShares,ActualPlaVol,TotalShares,TotalFloatShares,SecuName,ChiName
000001.SZE,20201209,18.71,18.79,19.05,18.68,18.71,67722115,1277484440.9,SZE,A,19910403,trade,0,1.0,0.0,0.0,0.0,0,0,19405918198,19405752680,平安银行,平安银行股份有限公司
000002.SZE,20201209,29.18,29.4,29.44,28.66,28.66,63703506,1846463886.8,SZE,A,19910129,trade,0,1.0,0.0,0.0,0.0,0,0,9724196533,9714314935,万科A,万科企业股份有限公司
000004.SZE,20201209,25.32,25.35,25.35,24.15,24.4,4317500,106122219.0,SZE,A,19910114,trade,0,1.0,0.0,0.0,0.0,0,0,165052625,83918684,国华网安,深圳国华网安科技股份有限公司
000005.SZE,20201209,2.56,2.56,2.57,2.52,2.52,10354195,26310889.2,SZE,A,19901210,trade,0,1.0,0.0,0.0,0.0,0,0,1058536842,1057946242,世纪星源,深圳世纪星源股份有限公司
000006.SZE,20201209,5.64,5.64,5.66,5.51,5.52,6764406,37847766.1,SZE,A,19920427,trade,0,1.0,0.0,0.0,0.0,0,0,1349995046,1348307972,深振业A,深圳市振业(集团)股份有限公司
000007.SZE,20201209,8.22,8.21,8.25,7.95,8.12,6753050,54429855.5,SZE,A,19920413,trade,0,1.0,0.0,0.0,0.0,0,0,346448044,308948044,全新好,深圳市全新好股份有限公司
000008.SZE,20201209,2.73,2.73,2.74,2.68,2.69,15284613,41443025.5,SZE,A,19920507,trade,0,1.0,0.0,0.0,0.0,0,0,2780795346,2665182273,神州高铁,神州高铁技术股份有限公司
000009.SZE,20201209,7.25,7.26,7.3,7.07,7.08,32289783,231003313.7,SZE,A,19910625,trade,0,1.0,0.0,0.0,0.0,0,0,2579213965,2551897988,中国宝安,中国宝安集团股份有限公司
000010.SZE,20201209,4.06,4.07,4.08,4.01,4.02,3243600,13089374.0,SZE,A,19951027,trade,0,1.0,0.0,0.0,0.0,0,0,819854713,522171498,美丽生态,深圳美丽生态股份有限公司
000011.SZE,20201209,13.1,13.06,13.25,12.76,12.8,6161017,80064201.7,SZE,A,19920330,trade,0,1.0,0.0,0.0,0.0,0,0,528373849,526475543,深物业A,深圳市物业发展(集团)股份有限公司
000012.SZE,20201209,6.8,6.77,6.85,6.64,6.65,47833228,321642691.2,SZE,A,19920228,trade,0,1.0,0.0,0.0,0.0,0,0,1961323047,1957059361,南玻A,中国南玻集团股份有限公司
000014.SZE,20201209,9.13,9.13,9.14,8.84,8.87,2138380,19218396.1,SZE,A,19920602,trade,0,1.0,0.0,0.0,0.0,0,0,201705187,201705187,沙河股份,沙河实业股份有限公司
000016.SZE,20201209,7.1,7.07,7.08,6.81,6.83,34097855,237102172.1,SZE,A,19920327,trade,0,1.0,0.0,0.0,0.0,0,0,1596593800,1596574300,深康佳A,康佳集团股份有限公司
000017.SZE,20201209,2.64,2.65,2.65,2.58,2.59,2601200,6782288.0,SZE,A,19920331,trade,2,1.0,0.0,0.0,0.0,0,0,302984965,302981008,*ST中华A,深圳中华自行车(集团)股份有限公司
000019.SZE,20201209,7.99,7.99,8.05,7.75,7.77,5257680,41431324.8,SZE,A,19921012,trade,0,1.0,0.0,0.0,0.0,0,0,1100785974,416184832,深粮控股,深圳市深粮控股股份有限公司
000020.SZE,20201209,10.1,10.2,10.2,10.0,10.0,900900,9059776.0,SZE,A,19920428,trade,0,1.0,0.0,0.0,0.0,0,0,181165391,181165391,深华发A,深圳中恒华发股份有限公司
000021.SZE,20201209,20.97,20.95,20.97,20.35,20.38,15413602,318052593.6,SZE,A,19940202,trade,0,1.0,0.0,0.0,0.0,0,0,1471259363,1469024359,深科技,深圳长城开发科技股份有限公司
000023.SZE,20201209,17.23,17.22,17.39,17.05,17.35,543709,9337279.0,SZE,A,19930429,trade,0,1.0,0.0,0.0,0.0,0,0,138756240,138756240,深天地A,深圳市天地(集团)股份有限公司
000025.SZE,20201209,18.79,18.86,18.87,17.88,17.95,6229341,113586122.7,SZE,A,19930621,trade,0,1.0,0.0,0.0,0.0,0,0,392778320,392778320,特力A,深圳市特力(集团)股份有限公司
000026.SZE,20201209,12.5,12.57,12.6,12.08,12.08,5368240,65998142.4,SZE,A,19930603,trade,0,1.0,0.0,0.0,0.0,0,0,361173881,356716368,飞亚达,飞亚达精密科技股份有限公司
000027.SZE,20201209,5.53,5.53,5.55,5.47,5.47,9581416,52829811.2,SZE,A,19930903,trade,0,1.0,0.0,0.0,0.0,0,0,4757389916,4757389916,深圳能源,深圳能源集团股份有限公司
000028.SZE,20201209,50.32,50.73,52.27,49.56,51.8,10097712,514889289.6,SZE,A,19930809,trade,0,1.0,0.0,0.0,0.0,0,0,373241383,367733625,国药一致,国药集团一致药业股份有限公司
000029.SZE,20201209,8.39,8.39,8.41,8.13,8.14,11129634,91959277.9,SZE,A,19930915,trade,0,1.0,0.0,0.0,0.0,0,0,891660000,891660000,深深房A,深圳经济特区房地产(集团)股份有限公司
000030.SZE,20201209,7.4,7.34,7.41,7.01,7.07,14128988,101457658.9,SZE,A,19930929,trade,0,1.0,0.0,0.0,0.0,0,0,1762733196,1759880870,富奥股份,富奥汽车零部件股份有限公司
000031.SZE,20201209,4.77,4.77,4.77,4.7,4.7,4728490,22385968.2,SZE,A,19931008,trade,0,1.0,0.0,0.0,0.0,0,0,4286313339,1813674958,大悦城,大悦城控股集团股份有限公司
000032.SZE,20201209,20.7,20.38,20.8,19.98,20.0,2966261,60233045.0,SZE,A,19931028,trade,0,1.0,0.0,0.0,0.0,0,0,413219661,411424109,深桑达A,深圳市桑达实业股份有限公司
000034.SZE,20201209,23.58,23.57,23.98,23.31,23.32,12446997,293177803.3,SZE,A,19940509,trade,0,1.0,0.0,0.0,0.0,0,0,659458406,497336653,神州数码,神州数码集团股份有限公司
000035.SZE,20201209,4.51,4.51,4.53,4.42,4.44,5165900,23088169.0,SZE,A,19940408,trade,0,1.0,0.0,0.0,0.0,0,0,2523777297,2453345376,中国天楹,中国天楹股份有限公司
000036.SZE,20201209,4.16,4.17,4.17,4.1,4.11,3876890,16006521.6,SZE,A,19940617,trade,0,1.0,0.0,0.0,0.0,0,0,1483934025,1479474430,华联控股,华联控股股份有限公司
000037.SZE,20201209,11.26,11.18,11.28,10.96,11.1,4866000,54034341.0,SZE,A,19940701,trade,0,1.0,0.0,0.0,0.0,0,0,338908150,338894011,深南电A,深圳南山热电股份有限公司
000038.SZE,20201209,10.86,10.86,10.89,10.51,10.54,4831240,51426068.8,SZE,A,19940808,trade,0,1.0,0.0,0.0,0.0,0,0,522777419,238177966,深大通,深圳大通实业股份有限公司
000039.SZE,20201209,15.24,15.23,15.64,15.05,15.33,31362636,482414716.1,SZE,A,19940408,trade,0,1.0,0.0,0.0,0.0,0,0,1535121660,1534271428,中集集团,中国国际海运集装箱(集团)股份有限公司
000040.SZE,20201209,3.36,3.35,3.44,3.32,3.32,27774757,93827824.9,SZE,A,19940808,trade,0,1.0,0.0,0.0,0.0,0,0,1486873870,1060340670,东旭蓝天,东旭蓝天新能源股份有限公司
000042.SZE,20201209,9.13,9.15,9.15,9.04,9.05,807100,7320025.0,SZE,A,19940921,trade,0,1.0,0.0,0.0,0.0,0,0,664831139,662341514,中洲控股,深圳市中洲投资控股股份有限公司
000045.SZE,20201209,7.91,7.96,7.98,7.5,7.63,4755910,36824545.1,SZE,A,19940815,trade,0,1.0,0.0,0.0,0.0,0,0,458272279,457017874,深纺织A,深圳市纺织(集团)股份有限公司
000046.SZE,20201209,3.91,3.92,3.93,3.81,3.83,7994047,30969588.5,SZE,A,19940912,trade,0,1.0,0.0,0.0,0.0,0,0,5196200656,5170078782,泛海控股,泛海控股股份有限公司
000048.SZE,20201209,23.92,23.92,23.93,23.34,23.4,2821055,66672342.3,SZE,A,19941101,trade,0,1.0,0.0,0.0,0.0,0,0,402491731,402407651,京基智农,深圳市京基智农时代股份有限公司
