BARRID,SED-CUS,LOCID,NAME,SPRET%,
CHNAAA2,,CN600612,LAOFENGXIANGCOLTD,-0.155,
CHNAAA3,,CN600612,LAOFENGXIANGCOLTD,-0.155,
CHNAAB2,,CN000012,CSGHOLDINGCOLTD,-0.321,
CHNAAB3,,CN000012,CSGHOLDINGCOLTD,-0.321,
CHNAAC2,,CN600610,SHANGHAIZHONGYIDA,1.641,
CHNAAD2,,CN000513,LIVZONPHARMACEUTICALGROUPINC,-0.538,
CHNAAD3,,CN000513,LIVZONPHARMACEUTICALGROUPINC,-0.538,
CHNAAE2,,CN600648,SHANGHAIWAIGAOQIAOFREETRADEZONE,-0.307,
CHNAAE3,,CN600648,SHANGHAIWAIGAOQIAOFREETRADEZONE,-0.307,
CHNAAF2,,CN600618,SHANGHAICHLOR-ALKALICHEMICALCOL,-1.198,
CHNAAF3,,CN600618,SHANGHAICHLOR-ALKALICHEMICALCOL,-1.198,
CHNAAG2,,CN600611,DAZHONGTRANSPORTATIONGROUPCOLTD,0.050,
CHNAAG3,,CN600611,DAZHONGTRANSPORTATIONGROUPCOLTD,0.050,
CHNAAI1,,CN600619,SHANGHAIHIGHLYGROUPCOLTD,0.106,
CHNAAJ1,,CN600614,PENGQITECHNOLOGYDEVELOPMENTCOLT,0.407,
CHNAAJ4,,CN600614,PENGQITECHNOLOGYDEVELOPMENTCOLT,0.407,
CHNAAK2,,CN600623,SHANGHAIHUAYIGROUPCOLTD,4.574,
CHNAAK3,,CN600623,SHANGHAIHUAYIGROUPCOLTD,4.574,
CHNAAL1,,CN600602,INESAINTELLIGENTTECHINC,0.515,
CHNAAM1,,CN600613,SHANGHAISHENQIPHARMA,-0.320,
CHNAAM3,,CN600613,SHANGHAISHENQIPHARMA,-0.320,
CHNAAN2,,CN000017,SHENZHENCHINABICYCLECOMPHLDSLT,0.128,
CHNAAO2,,CN001872,CHINAMERCHANTSPORTGROUPCOLTD,0.129,
